route_id,trip_headsign,direction_id,day,start_time,end_time,load_date
TMB F1,Stasiun Hall - Gunung Batu (Feeder),1,Thursday,6:00:00,15:55:00,2024-04-26
TMB F1,Stasiun Hall - Gunung Batu (Feeder),1,Friday,6:00:00,15:55:00,2024-04-26
TMB F1,Stasiun Hall - Gunung Batu (Feeder),1,Saturday,7:00:00,16:55:00,2024-04-26
TMB F2,Summarecon - Cibeureum (Feeder),0,Sunday,6:30:00,15:30:00,2024-04-26
TMB F2,Summarecon - Cibeureum (Feeder),0,Monday,6:30:00,15:30:00,2024-04-26
TMB F2,Summarecon - Cibeureum (Feeder),0,Tuesday,6:30:00,15:30:00,2024-04-26
TMB F2,Summarecon - Cibeureum (Feeder),0,Wednesday,6:30:00,15:30:00,2024-04-26
TMB F2,Summarecon - Cibeureum (Feeder),0,Thursday,6:30:00,15:30:00,2024-04-26
TMB F2,Summarecon - Cibeureum (Feeder),0,Friday,6:30:00,15:30:00,2024-04-26
TMB F2,Summarecon - Cibeureum (Feeder),0,Saturday,6:30:00,15:30:00,2024-04-26
TMB F2,Cibeureum - Summarecon (Feeder),1,Sunday,7:30:00,16:30:00,2024-04-26
TMB F2,Cibeureum - Summarecon (Feeder),1,Monday,7:30:00,16:30:00,2024-04-26
TMB F2,Cibeureum - Summarecon (Feeder),1,Tuesday,7:30:00,16:30:00,2024-04-26
TMB F2,Cibeureum - Summarecon (Feeder),1,Wednesday,7:30:00,16:30:00,2024-04-26
TMB F2,Cibeureum - Summarecon (Feeder),1,Thursday,7:30:00,16:30:00,2024-04-26
TMB F2,Cibeureum - Summarecon (Feeder),1,Friday,7:30:00,16:30:00,2024-04-26
TMB F2,Cibeureum - Summarecon (Feeder),1,Saturday,7:30:00,16:30:00,2024-04-26
TMB K1,Cibiru - Cibeureum,0,Sunday,5:10:00,17:50:00,2024-04-26
TMB K1,Cibiru - Cibeureum,0,Monday,5:10:00,17:50:00,2024-04-26
TMB K1,Cibiru - Cibeureum,0,Tuesday,5:10:00,17:50:00,2024-04-26
TMB K1,Cibiru - Cibeureum,0,Wednesday,5:10:00,17:50:00,2024-04-26
TMB K1,Cibiru - Cibeureum,0,Thursday,5:10:00,17:50:00,2024-04-26
TMB K1,Cibiru - Cibeureum,0,Friday,5:10:00,17:50:00,2024-04-26
TMB K1,Cibiru - Cibeureum,0,Saturday,5:10:00,17:50:00,2024-04-26
TMB K1,Cibeureum - Cibiru,1,Sunday,6:00:00,17:20:00,2024-04-26
TMB K1,Cibeureum - Cibiru,1,Monday,6:00:00,17:20:00,2024-04-26
TMB K1,Cibeureum - Cibiru,1,Tuesday,6:00:00,17:20:00,2024-04-26
TMB K1,Cibeureum - Cibiru,1,Wednesday,6:00:00,17:20:00,2024-04-26
TMB K1,Cibeureum - Cibiru,1,Thursday,6:00:00,17:20:00,2024-04-26
TMB K1,Cibeureum - Cibiru,1,Friday,6:00:00,17:20:00,2024-04-26
TMB K1,Cibeureum - Cibiru,1,Saturday,6:00:00,17:20:00,2024-04-26
TMB K2,Cicaheum - Cibeureum,0,Sunday,5:30:00,17:00:00,2024-04-26
TMB K2,Cicaheum - Cibeureum,0,Monday,5:30:00,17:00:00,2024-04-26
TMB K2,Cicaheum - Cibeureum,0,Tuesday,5:30:00,17:00:00,2024-04-26
TMB K2,Cicaheum - Cibeureum,0,Wednesday,5:30:00,17:00:00,2024-04-26
TMB K2,Cicaheum - Cibeureum,0,Thursday,5:30:00,17:00:00,2024-04-26
TMB K2,Cicaheum - Cibeureum,0,Friday,5:30:00,17:00:00,2024-04-26
TMB K2,Cicaheum - Cibeureum,0,Saturday,5:30:00,17:00:00,2024-04-26
TMB K2,Cibeureum - Cicaheum,1,Sunday,6:00:00,17:00:00,2024-04-26
TMB K2,Cibeureum - Cicaheum,1,Monday,6:00:00,17:00:00,2024-04-26
TMB K2,Cibeureum - Cicaheum,1,Tuesday,6:00:00,17:00:00,2024-04-26
TMB K2,Cibeureum - Cicaheum,1,Wednesday,6:00:00,17:00:00,2024-04-26
TMB K2,Cibeureum - Cicaheum,1,Thursday,6:00:00,17:00:00,2024-04-26
TMB K2,Cibeureum - Cicaheum,1,Friday,6:00:00,17:00:00,2024-04-26
TMB K2,Cibeureum - Cicaheum,1,Saturday,6:00:00,17:00:00,2024-04-26
TMB K3,Cicaheum - Sarijadi,0,Sunday,5:30:00,16:50:00,2024-04-26
TMB K3,Cicaheum - Sarijadi,0,Monday,5:30:00,16:50:00,2024-04-26
TMB K3,Cicaheum - Sarijadi,0,Tuesday,5:30:00,16:50:00,2024-04-26
TMB K3,Cicaheum - Sarijadi,0,Wednesday,5:30:00,16:50:00,2024-04-26
TMB K3,Cicaheum - Sarijadi,0,Thursday,5:30:00,16:50:00,2024-04-26
TMB K3,Cicaheum - Sarijadi,0,Friday,5:30:00,16:50:00,2024-04-26
TMB K3,Cicaheum - Sarijadi,0,Saturday,5:30:00,16:50:00,2024-04-26
TMB K3,Sarijadi - Cicaheum,1,Sunday,6:00:00,16:40:00,2024-04-26
TMB K3,Sarijadi - Cicaheum,1,Monday,6:00:00,16:40:00,2024-04-26
TMB K3,Sarijadi - Cicaheum,1,Tuesday,6:00:00,16:40:00,2024-04-26
TMB K3,Sarijadi - Cicaheum,1,Wednesday,6:00:00,16:40:00,2024-04-26
TMB K3,Sarijadi - Cicaheum,1,Thursday,6:00:00,16:40:00,2024-04-26
TMB K3,Sarijadi - Cicaheum,1,Friday,6:00:00,16:40:00,2024-04-26
TMB K3,Sarijadi - Cicaheum,1,Saturday,6:00:00,16:40:00,2024-04-26
TMB K4,Terminal Antapani - Terminal Leuwipanjang,0,Sunday,5:30:00,18:00:00,2024-04-26
TMB K4,Terminal Antapani - Terminal Leuwipanjang,0,Monday,5:30:00,18:00:00,2024-04-26
TMB K4,Terminal Antapani - Terminal Leuwipanjang,0,Tuesday,5:30:00,18:00:00,2024-04-26
TMB K4,Terminal Antapani - Terminal Leuwipanjang,0,Wednesday,5:30:00,18:00:00,2024-04-26
