"stop_id","stop_name","stop_lat","stop_lon"
"bandung_pt_len_industri_b","Pt Len Industri B",-6.9489877,107.619152
"bandung_lpkia_b","Lpkia B",-6.94925349983433,107.624650000026
"bandung_bangunan_mart_b","Bangunan Mart B",-6.94913154974244,107.628075101879
"bandung_taman_bypass_buah_batu","Taman Bypass Buah Batu",-6.94740928071282,107.634684548171
"bandung_swadarma_bni","Swadarma Bni",-6.95062906842101,107.636410724948
"bandung_pasar_kordon_b","Pasar Kordon B",-6.95333220090336,107.638758542356
"bandung_bluebird_b","Bluebird B",-6.95826155243382,107.639590000026
"bandung_puskesmas_kujangsari_b","Puskesmas Kujangsari B",-6.96477765637989,107.638222915375
"bandung_transmart_buah_batu","Transmart Buah Batu",-6.96716545272197,107.637798746072
"bandung_permata_buah_batu","Permata Buah Batu",-6.97134127615008,107.636543323131
"bandung_podomoro","Podomoro",-6.97584446437595,107.629193895486
"bandung_ahass","Ahass",-6.9752344151143,107.633960001481
"bandung_griya_bandung_asri","Griya Bandung Asri",-6.98568545566846,107.632900728856
"bandung_alfamart_spbu_bojongsoang","Alfamart Spbu Bojongsoang",-6.99124831688159,107.631712186538
"bandung_masjid_jami_baitul_huda_b","Masjid Jami' Baitul Huda B",-7.00018914218913,107.631946968631
"bandung_apotek_k24_baleendah","Apotek K24 Baleendah",-7.0054370252364,107.630705627005
"bandung_kejari_bale_bandung","Kejari Bale Bandung",-7.0058715665216,107.623750000035
"bandung_rs_al_ihsan","Rs Al-Ihsan",-7.00679148204669,107.624436456957
"bandung_baleendah","Baleendah",-6.9879481,107.6156089
"bandung_masjid_al_amanah","Masjid Al-Amanah",-7.00566572788029,107.628818017235
"bandung_matahari_land","Matahari Land",-7.0037809171295,107.631254373052
"bandung_masjid_jami_baitul_huda_a","Masjid Jami' Baitul Huda A",-7.00007150720121,107.631779067502
"bandung_bubur_ayam_h_amid","Bubur Ayam H. Amid",-6.9945416634076,107.6307540207
"bandung_borma_bojongsoang","Borma Bojongsoang",-6.98428026168127,107.633038542376
"bandung_sd_negeri_lengkong","Sd Negeri Lengkong",-6.97616701189414,107.63515072887
"bandung_puskesmas_bojongsoang","Puskesmas Bojongsoang",-6.9676031,107.6374074
"bandung_bluebird_a","Bluebird A",-6.95751960273367,107.639546559567
"bandung_pasar_kordon_a","Pasar Kordon A",-6.95401765174132,107.638902915391
"bandung_japnas","Japnas",-6.95110090034905,107.636434833833
"bandung_pt_medal_sekarwangi","Pt Medal Sekarwangi",-6.9348277556483,107.625453547738
"bandung_bangunan_mart_a","Bangunan Mart A",-6.94936414986476,107.628120000021
