"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence"
"shp_damri_11_1",-6.92128992080688,107.607139587402,1
"shp_damri_11_1",-6.918869972229,107.606605529785,2
"shp_damri_11_1",-6.9266996383667,107.605926513672,3
"shp_damri_11_1",-6.92303991317749,107.603996276855,4
"shp_damri_11_1",-6.91997003555298,107.622055053711,5
"shp_damri_11_1",-6.92805004119873,107.603668212891,6
"shp_damri_11_1",-6.92385005950928,107.60359954834,7
"shp_damri_11_1",-6.93390989303589,107.603446960449,8
"shp_damri_11_1",-6.92208003997803,107.59920501709,9
"shp_damri_11_1",-6.91927003860474,107.62353515625,10
"shp_damri_11_1",-6.94591999053955,107.593605041504,11
"shp_damri_11_1",-6.93739986419678,107.59334564209,12
"shp_damri_11_1",-6.94531965255737,107.593338012695,13
"shp_damri_11_1",-6.9203200340271,107.614974975586,14
"shp_damri_11_1",-6.99211978912354,107.555877685547,15
"shp_damri_11_1",-6.91612005233765,107.63013458252,16
"shp_damri_11_1",-6.91450977325439,107.638198852539,17
"shp_damri_11_1",-6.92970991134644,107.537216186523,18
"shp_damri_11_1",-6.91172981262207,107.637954711914,19
"shp_damri_11_1",-6.91127967834473,107.64347076416,20
"shp_damri_11_1",-6.90208005905151,107.656784057617,21
"shp_damri_11_1",-6.90505981445312,107.650115966797,22
"shp_damri_11_1",-6.90192985534668,107.655044555664,23
"shp_damri_11_1",-6.90222978591919,107.656799316406,24
"shp_damri_11_1",-6.90225982666016,107.660125732422,25
"shp_damri_11_1",-6.90405988693237,107.665313720703,26
"shp_damri_11_1",-6.90429973602295,107.669120788574,27
"shp_damri_11_1",-6.90499973297119,107.680480957031,28
"shp_damri_11_1",-6.90694999694824,107.684989929199,29
"shp_damri_11_1",-6.9076099395752,107.686828613281,30
"shp_damri_11_1",-6.90840005874634,107.688591003418,31
"shp_damri_11_1",-6.92932987213135,107.712097167969,32
"shp_damri_11_1",-6.91278982162476,107.694526672363,33
"shp_damri_11_1",-6.91395998001099,107.698425292969,34
"shp_damri_11_1",-6.9136700630188,107.700866699219,35
"shp_damri_11_1",-6.91414976119995,107.702728271484,36
"shp_damri_11_1",-6.90245962142944,107.711799621582,37
"shp_damri_11_1",-6.93316984176636,107.725914001465,38
"shp_damri_11_1",-6.91554975509644,107.672805786133,39
"shp_damri_11_1",-6.92394971847534,107.71949005127,40
"shp_damri_11_1",-6.93237972259521,107.715744018555,41
"shp_damri_11_1",-6.92302989959717,107.719970703125,42
"shp_damri_11_2",-6.92302989959717,107.719970703125,1
"shp_damri_11_2",-6.93237972259521,107.715744018555,2
"shp_damri_11_2",-6.92394971847534,107.71949005127,3
"shp_damri_11_2",-6.92965984344482,107.712196350098,4
"shp_damri_11_2",-6.91554975509644,107.672805786133,5
"shp_damri_11_2",-6.93316984176636,107.725914001465,6
"shp_damri_11_2",-6.90245962142944,107.711799621582,7
"shp_damri_11_2",-6.91414976119995,107.702728271484,8
"shp_damri_11_2",-6.91429996490479,107.698089599609,9
"shp_damri_11_2",-6.91389989852905,107.695510864258,10
"shp_damri_11_2",-6.9126296043396,107.691833496094,11
"shp_damri_11_2",-6.90609979629517,107.691146850586,12
"shp_damri_11_2",-6.92630004882812,107.710838317871,13
"shp_damri_11_2",-6.90762996673584,107.686820983887,14
"shp_damri_11_2",-6.9076099395752,107.686828613281,15
"shp_damri_11_2",-6.90694999694824,107.684989929199,16
"shp_damri_11_2",-6.90499973297119,107.680480957031,17
"shp_damri_11_2",-6.90429973602295,107.669120788574,18
"shp_damri_11_2",-6.90419960021973,107.666786193848,19
"shp_damri_11_2",-6.90321969985962,107.660903930664,20
"shp_damri_11_2",-6.90222978591919,107.656799316406,21
"shp_damri_11_2",-6.90357971191406,107.648574829102,22
"shp_damri_11_2",-6.90505981445312,107.650115966797,23
"shp_damri_11_2",-6.90208005905151,107.656784057617,24
"shp_damri_11_2",-6.94290971755981,107.642150878906,25
"shp_damri_11_2",-6.90733003616333,107.645965576172,26
"shp_damri_11_2",-6.91395998001099,107.606918334961,27
"shp_damri_11_2",-6.91422986984253,107.639846801758,28
"shp_damri_11_2",-6.94290971755981,107.642150878906,29
"shp_damri_11_2",-6.91059970855713,107.639556884766,30
"shp_damri_11_2",-6.91436004638672,107.632827758789,31
"shp_damri_11_2",-6.91612005233765,107.63013458252,32
"shp_damri_11_2",-6.91474962234497,107.636245727539,33
"shp_damri_11_2",-6.91399002075195,107.633178710938,34
"shp_damri_11_2",-6.91436004638672,107.632827758789,35
"shp_damri_11_2",-6.91612005233765,107.63013458252,36
"shp_damri_11_2",-6.92114973068237,107.617774963379,37
"shp_damri_11_2",-6.92233991622925,107.61506652832,38
"shp_damri_11_2",-6.92228984832764,107.616226196289,39
"shp_damri_11_2",-6.92202997207642,107.614189147949,40
"shp_damri_11_2",-6.92165994644165,107.611045837402,41
"shp_damri_11_2",-6.91864967346191,107.624496459961,42
"shp_damri_11_2",-6.91927003860474,107.62353515625,43
"shp_damri_11_2",-6.92208003997803,107.59920501709,44
"shp_damri_11_2",-6.91997003555298,107.622055053711,45
"shp_damri_11_2",-6.92559003829956,107.605430603027,46
"shp_damri_11_2",-6.94916963577271,107.621559143066,47
"shp_damri_11_2",-6.93390989303589,107.603446960449,48
"shp_damri_11_2",-6.93532991409302,107.603187561035,49
"shp_damri_11_2",-6.9335298538208,107.590484619141,50
"shp_damri_11_2",-6.93739986419678,107.59334564209,51
"shp_damri_11_2",-6.94359970092773,107.591178894043,52
"shp_damri_11_2",-6.94591999053955,107.593605041504,53
"shp_damri_11_2",-6.92128992080688,107.607139587402,54
