"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence"
"shp_damri_6a_1",-10371.625,0.0921700000762939,1
"shp_damri_6a_2",-10371.625,0.0972899943590164,1
"shp_damri_8_1",-10363.7607421875,0.0028800000436604,1
"shp_damri_8_2",-10363.7607421875,0.00303999986499548,1
"shp_tmb_f1_1",-2909.0517578125,0.0028800000436604,1
"shp_tmb_f1_2",-2909.0517578125,0.00303999986499548,1
"shp_tmb_f2_1",-2909.0107421875,0.0028800000436604,1
"shp_tmb_f2_2",-2909.0107421875,0.00303999986499548,1
"shp_tmb_k1_1",-2909.04418945312,0.0028800000436604,1
"shp_tmb_k1_2",-2909.04418945312,0.00303999986499548,1
"shp_tmb_k2_1",-2909.00317382812,0.0028800000436604,1
"shp_tmb_k2_2",-2909.00317382812,0.00303999986499548,1
"shp_tmb_k3_1",-2908.88012695312,0.0028800000436604,1
"shp_tmb_k3_2",-2908.88012695312,0.00303999986499548,1
"shp_tmb_k4_1",-2908.83935546875,0.0028800000436604,1
"shp_tmb_k4_2",-2908.83935546875,0.00303999986499548,1
"shp_tmb_k5_1",-2908.88012695312,0.0028800000436604,1
"shp_tmb_k5_2",-2908.88012695312,0.00303999986499548,1
"shp_tmp_1d_1",7827.73095703125,-0.0921899974346161,1
"shp_tmp_1d_2",7827.73095703125,-0.0973099991679192,1
"shp_tmp_2d_1",7827.73095703125,-0.0921899974346161,1
"shp_tmp_2d_2",7827.73095703125,-0.0973099991679192,1
"shp_tmp_3d_1",7827.728515625,-0.0921899974346161,1
"shp_tmp_3d_2",7827.728515625,-0.0973099991679192,1
"shp_tmp_4d_1",7827.728515625,-0.0921899974346161,1
"shp_tmp_4d_2",7827.728515625,-0.0973099991679192,1
"shp_tmp_5d_1",7827.73095703125,-0.0921899974346161,1
"shp_tmp_5d_2",7827.73095703125,-0.0973099991679192,1
